SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
Caledonia (1820),,,Sailing ship,,,12/28/1820,1820,12,28,Long Branch,,,Stranded,Wood,England,,,,300,,,"Liverpool, England","New York, NY",Struthers,,,3,,,,,Y,N,Total loss,
Cambusdoon,,James Kennedy,Bark,1881,"Gardners Cove, NB",4/2/1886,1886,4,2,Highands S 20 mi,,,Collision,,England,193,38.3,22.5,1198,,"St John, NB, Canada ","Cebu, Philippines","New York, NY",Fleet,,,,,,,,N,N,Slight damage,
Canima,,,Steamer,1863,"Glasgow, Scotland",1/18/1875,1875,1,18,"Highlands, NJ",,,Collision,,England,230,28.8,14.8,752,,"Quebec, Canada","Pembroke Parish, Bermuda","New York, NY",Liddecoat,,,,,,,,N,N,Badly damaged,
Canton (1817),,,Sloop,,,11/1817,1817,11,,Cape May,,,Stranded,,,,,,,,,"Fredericksburg, VA","New York, NY",,,,,,,3000 bushels wheat,,N,N,Cargo lost,
Cardiff,,,Brig,,,3/19/1856,1856,3,19,Corsons Inlet bar,39-12-10 N,74-38-30 W,Stranded,,,,,9,,,,"Les Cayes, Haiti","New York, NY",,10,,0,,,"Log, wood, coffee, honey",,Y,N,Ship lost; Cargo saved,
Carlos Alberto,Charles Albert,,Brig,,,8/28/1857,1857,8,28,Barnegat Inlet N 11.5 mi,39-56-20 N,74-04-00 W,Stranded,Wood,Italy,,,12,,,Sardinia,"Genoa, Italy","New York, NY",Revello,15,44,3,,,Marble; wine; cheese,,,N,,"Incorrectly reported as ""Charles Albert"""
Carolina (1918),,NY & Porto Rico SS Co,Passenger,1896,"Newport News, VA",6/2/18,1918,6,2,Sandy Hook SE 125 mi,39 05 585 N,73 06 897 W,War loss,Steel,US,381.5,47.8,36.5,5093,3125,"Bath, ME","San Juan, Puerto Rico","New York, NY",,113,217,13,,,Sugar & Mail,,Y,Y,Black Sunday wreck,
Caroline (1836),,,Sloop,,,8/1836,1836,8,,Barnegat,,,Collision,,,,,,,,,"St John, NF","New York, NY",,,,0,,,Plaster & fish,,Y,N,Sunk; Crew saved,
Carrie S Webb (1881),,Bentley Gildersleeve & Co,Schooner,1867,"Westerly, RI",3/1/1881,1881,3,1,,,,Stranded,,,100,28.6,9,196,,"Brookhaven, NY","Ponce, Puerto Rico","New York, NY",,7,,0,,,,,Y,N,#5425; Sunk,
Carrie Winslow,,,Brig,,,2/11/1878,1878,2,11,New York Bay,,,Collision,,,,,,455,,,"Montevideo, Uraguay","New York, NY",,,,2,,,Hides and wool,,,N,,
Cassandra (1867),,,Steamer,1864,"Mystic, CT",2/5/1867,1867,2,5,Brigantine Shoal,,,Stranded,Wood,,207,35.5,17.3,1284,,"Boston, MA","New Orleans, LA","New York, NY",Daniel McLaughlin,31,,0,,,"Cotton, tobacco, moss, leather",,Y,Y,Total loss,
Castalia,,,Brig,1874,"Richmond, ME",2/3/1880,1880,2,3,"Highlands, NJ",`,,Stranded,,,130.7,30.8,17,516.26,490.45,"Bath, ME","Galveston, TX","New York, NY",Elmes,11,,0,12000,94000,Cotton,Seabright #3,N,N,#125233; Refloated,
Catalone,,English & American Shipping Co,Steamer,1901,"Wallsend-on-Tyne, England",12/18/08,1908,12,18,"Gedney Channel, NY Harbor entrance",,,Collision,Steel,England,350,46.1,27,3788,2430,"London, England","Boston, MA","New York, NY",Glover,,,0,,,,,N,N,#114684,"See folder on ""Daghestan"""
Caterina,,Guiseppi Drago,Bark,1875,"Dumbarton, England",10/23/12,1912,10,23,Barnegat LSS NE 1.75 mi,,,Stranded,Iron,Italy,201.6,32.8,19.8,949,860,"Genoa, Italy","Montevideo, Uraguay","New York, NY",,13,,0,12000,10000,Bones,"Forked River, Loveladies,Cedar Creek, Barnegat",Y,Y,Total loss,
Cato (1808),,,Merchantman,,,11/11/1808,1808,11,11,Sandy Hook,,,Stranded,Wood,US,,,,,,,"Ocean Cay Port, Bahamas","New York, NY",Darrell,,,0,,,,,Y,N,Total loss,
Cavalier (1899),,,Schooner,1893,"Pugwash, NS",12/2/1899,1899,12,2,Spermaceti Cove LSS S 1 mi,,,Stranded,Wood,Canada,108.4,28,10.7,242,234,"Halifax, NS","Port au Prince, Haiti","New York, NY",W H Dean,6,,0,5000,4000,Logwood,Spermaceti Cove #2,N,N,#100233; Refloated,
Cayru,Chickasaw; Scanmail,Lloyd Brasileiro,Freighter,1919,"Hog Island, PA",3/8/42,1942,3,8,Stone Harbor E 39 mi,39-05-00 N,73-47-00 W,War loss,Steel,Brazil,390,54.2,28,5152,3156,"Rio de Janeiro, Brazil","Rio de Janiero, Brazil","New York, NY",Pequeno,75,10,38,,,,,Y,Y,Sank; Hydro #537,
Cearense,Colaresense,Booth SS Co,Steamer,1891,"Barrow, England",3/16/06,1906,3,16,Island Beach LSS NNE 1.5 mi,,,Stranded,Steel,England,318,40.4,25.8,2764,1790,"Liverpool, England","Para, Brazil","New York, NY",Mason,44,21,0,150000,1600000,"Sugar, rubber, hides","Island Beach, Toms River",N,N,#99302; Refloated,
Cecil P Stewart,,Dunn & Elliot,Schooner,1919,"Thomaston, ME",2/17/27,1927,2,17,Harvey Cedars,,,Stranded,Wood,US,222,41,18,1216,1040,"Rockland, ME","Brunswick, GA","New York, NY",James Fales,9,,0,50000,75000,Railroad Ties,Harvey Cedars; Ship Bottom,Y,Y,#217641; Total loss,
Celeste,,,Schooner,,,12/1842,1842,12,,Absecon Beach,,,Stranded,,,,,,,,,"Baltimore, MD","New York, NY",Johnson,,,,,,,,Y,N,Total loss,
Celina,,Adam Hitchcock,Schooner,1882,"Bath, ME",5/12/1886,1886,5,12,Absecon,,,Collision,,,164.5,35.4,13,628,,,"Barbados, Carribean","New York, NY",M Adams,,,,,,,,N,N,#125996; Made NY 5/17/1886,
Centennial (1888),,,Schooner,1876,"Mays Landing, NJ",7/14/1888,1888,7,14,Egg Harbor Inlet North bar,,,Stranded,,,82.4,28.4,5.9,113.22,107.56,"Somers Point, NJ","Mays Landing, NJ","New York, NY",Smith,5,,0,,,Wood,Ocean City,N,N,#125480; Refloated,
Chalmette,,Southern Pacific,Passenger,1879,"Philadelphia, PA",7/28/13,1913,7,28,Barnegat LSS SW 1.25 mi,,,Stranded,Iron,US,321.2,42.2,21.3,3205,2043,"New York, NY","New Orleans, LA","New York, NY",,48,,0,221335,24000,Lumber,Barnegat & Loveladies,N,N,#125768; Refloated,
Chapparra,Tinhow,"Empresa Naviera de Cuba, S.A. ",Freighter,1906,"Port Glasgow, England",10/27/18,1918,10,27,Barnegat SE 10 mi,39 43 89 N,73 59 31 W,War loss,Steel,Cuba,249.5,38,17,1510,902,"Havana, Cuba","Cardenas, Mexico","New York, NY",Jose Vinslas,29,,6,,,Sugar,#112 & #113,Y,Y,,
Charles A Hoard,,,Brig,,,12/9/1885,1885,12,9,Sandy Hook Romer Shoal,,,Stranded,,,,,,241,,"Yarmouth, NS","Saint Croix, WI","New York, NY",Proctor,8,,0,10000,8000,"Sugar, molasses, rum",,N,N,Refloated,
Charles A Keeler,,,Schooner,,"Albany, NY",6/2/1840,1840,6,2,Squan Beach,,,Stranded,,,,,,,,"Albany, NY","Philadelphia, PA","Albany, NY",,,,,,,,,,N,,
Charles Albert,Carlos Alberto,,Brig,,,8/28/1857,1857,8,28,Barnegat Inlet N 11.5 mi,39-56-20 N,74-04-00 W,Stranded,Wood,Italy,,,12,,,Sardinia,"Genoa, Italy","New York, NY",Revello,15,44,3,,,Marble; wine; cheese,,,N,,"Real name ""Carlos Alberto"""
Charles Colgate,,Maibler & Lord,Schooner,1850,"Patchogue, NY",2/16/1858,1858,2,16,Squan Beach,,,Stranded,,,,,11,290,,"New York, NY","Baltimore, MD","New York, NY",,5,,0,,,Corn,,N,N,Refloated 2/18/1858; Crew saved,
Charles H Pool,,,Brig,,,8/17/1867,1867,8,17,Great Egg Harbor bar,,,Stranded,,,,,,,,,"Barbados, Caribbean","New York, NY",,,,,,,Molasses,,N,N,Refloated,
Charles H Valentine,,Aster Curtis,Schooner,1884,"New Haven, CT",10/29/1885,1885,10,29,Sandy Hook Point,,,Stranded,Wood,US,159,35,15.8,642.9,610.76,"Perth Amboy, NJ","Georgetown, DC","New York, NY",,8,,0,40000,4000,Soft coal,,N,N,#126266; Refloated; Towed to SI,
Charles L Lawrence,,,Schooner,,,12/19/1875,1875,12,19,Atlantic City LSS E,,,Stranded,,,,,,,,,"Chincoteague, VA","New York, NY",W Adams,3,,0,4000,1000,Oysters,Atlantic City #27,N,N,Refloated,
Charles L Mitchell,,,Schooner,1881,"New Haven, CT",3/23/1896,1896,3,23,Cold Spring Inlet North bar,,,Stranded,,,154.2,35.8,10.6,597.04,567.19,"Boston, MA","Port of Spain, Trinidad","New York, NY",George W Frost,9,,0,10000,7000,Asphalt,"Cold Spring, Turtle Gut, Cape May",N,N,#125938; Refloated,
Charles M Newins (1881),,W H Thompson,Schooner,1860,"Port Jefferson, NY",1/28/1881,1881,1,28,Barnegat LSS E 1 mi,,,Stranded,Wood,US,113,30.3,15.8,384.11,364.91,"New York, NY","Mobile, AL","New York, NY",Tuttle,7,,0,10000,5000,,,N,N,#4780; Refloated,
Charles P Sinnickson,,George A Twibill,Schooner,1863,"Chester, PA",2/9/1886,1886,2,9,Barnegat E,,,Mechanical damage,,,113.8,23.5,8.7,190.9,181.35,"Philadelphia, PA","Yatesville, NC","New York, NY",William S Cropper,5,,0,6500,1500,Yellow pine,,N,N,#125109; Towed into New York,
Charles Platt,,James W Elwell,Bark,1874,"Morristown, NJ",2/10/1886,1886,2,10,Barnegat S 3 mi,,,Stranded,Wood,US,145,34.8,17.3,632.52,600.89,"Philadelphia, PA","Pernambuco, Brazil","New York, NY",Edwin P Sharp,10,,0,25000,50000,Sugar,"Ship Bottom #18, 19 & 20",Y,N,#125207; Total loss,
Charles Thomas,Marmion,R L Taylor,Steamer,1864,"Philadelphia, PA",11/7/1868,1868,11,7,Sandy Hook Flynn Knoll,,,Collision,,,232,32,19,1051,,"New York, NY","Savannah, GA","New York, NY",Faircloth,,,0,150000,,Cotton,,Y,N,"Towed by ""Lackawanna""; Cargo saved; Later broke up",
Charlotte Brown,,G G Snow,Schooner,1860,"Essex, MA",5/5/1885,1885,5,5,Seabright LSS S 1.25 mi,,,Stranded,,US,80,23,8,84,,"Provincetown, MA","Harwich, MA","New York, NY",J D Pierce,15,,0,6000,500,Fish,"Sea Bright, Spermaceti Cove, Monmouth Beach",N,N,#4590; Refloated,
Charming Peggy (1752),,,Schooner,,,11/13/1752,1752,11,13,Sandy Hook,,,Stranded,,,,,,,,,"Cape Fair, Missouri","New York, NY",Alexander Sloan,,,,,,237 bbl tar,,Y,N,Ship lost; Crew & cargo saved,
Charming Peggy (1767),,,Sloop,,,12/1767,1767,12,,Marcus Hook,,,Stranded,,,,,,,,,"Philadelphia, PA","New York, NY",Stewart,,,,,,,,,N,,
"Chauncey Jerome, Jr",,Eagle & Hazard,Passenger,1852,"East Haddam, CT",1/12/1854,1854,1,12,Long Branch N,,,Stranded,Wood,US,,,,1150,,"New York, NY","Liverpool, England","New York, NY",Cone,,100,0,,,General,,N,N,"Ship refloated; Pass., crew & cargo saved",
Cheaton,,,Schooner,,,2/8/1872,1872,2,8,Barnegat,,,Mechanical damage,,,,,,,,,"Port Morant, Jamaica","New York, NY",,,,,,,,,N,N,,
Chelwood Beacon,,Medomsley,Tanker,1960,"Rotterdam, Neth",1/24/66,1966,1,24,Sandy Hook Light E 2 mi,,,Stranded,Steel,England,665,89.45,33.95,21359,,,"Punta Cardón, Venezuela","New York, NY",Peter Jones,52,,0,,,"30,000 ton crude oil",,N,Y,Refloated,
Cherokee (1906),,Clyde SS Co,Steamer,1886,"Philadelphia, PA",1/12/06,1906,1,12,Brigantine Shoal,,,Stranded,,,264,43,18.8,2556,1966,"New York, NY","Santo Domingo, Dom Rep","New York, NY",Archibald,56,,0,200000,100000,General,South Brigantine,N,Y,#126391; Refloated,
Chestina Redman,,,Bark,1873,"Boston, MA",2/11/1891,1891,2,11,Shrewsbury Rocks,,,Stranded,Wood,US,142.3,32.4,16.4,588.91,559.47,"Boston, MA","Savannah, GA","New York, NY",Watts,10,,0,30000,10000,Timber,Monmouth Beach,N,N,#125318; Refloated,
China Arrow,,Socony Vacuum Oil Co,Tanker,1920,"Fairfield, CT",2/5/42,1942,2,5,"Winter Quarter Shoal, VA E",37-59-30 N,75-11-30 W,War loss,Steel,US,485,63,28.2,8403,,"New York, NY","Beaumont, TX","New York, NY",Paul Hoffman Browne,37,,0,,,81773 bbl fuel oil,,Y,Y,War loss,
Choapa,Helga; Junior,Chilean Government,Freighter,1937,Denmark,9/21/44,1944,9,21,Long Branch E 9.5 mi,40-16-00 N,73-47-00 W,Collision,Steel,Chile,292,41.7,16.4,1700,973,"Valparaiso, Chile","Caldera, Chile","New York, NY",,,,,,,,"Collisions w/ ""Harmony"", ""Voco"", ""Empire Garrick""",Y,Y,#21656; Hydro #857; Sank,
Chocorua,Chocoma,,Schooner,1869,"Gloucester, MA",5/29/1898,1898,5,29,Brigantine Shoal,39-23-00 N,74-23-00 W,Stranded,Wood,US,72,21,7.3,62.87,59.73,"New York, NY","Cape Henry, VA","New York, NY",Smith,9,,0,3000,700,Fish,Brigantine,Y,N,#5734; Total loss,
Christian Bergh,,Albatross SS Co,Freighter,1944,"New Orleans, LA",3/18/49,1949,3,18,Highlands S .5 m,,,Stranded,,,422.8,57,34.8,,4380,"Baltimore, MD","Tinos, Greece","New York, NY",,44,,0,,,,,N,N,#246601; Refloated,
Christiania,,,Brig,,,12/27/1866,1866,12,27,Sandy Hook E 6 mi,,,Collision,,Denmark,,,,285,,,"Rio de Janiero, Brazil","New York, NY",Cornelius Isbrandtsen,16,,4,,,,,Y,N,Pilot John Fredell also lost,
Circassian,,Atlantic RM SS Co,Steamer,1856,"Belfast, ME",12/18/1869,1869,12,18,Squan Beach,,,Stranded,Iron,,253,40,18,1045,,,"New Orleans, LA","New York, NY",Ellis,,,,,,,,N,N,Refloated; towed to New York,
City of Richmond,,Imman SS Co,Steamer,1873,"Glasgow, Scotland",2/16/1883,1883,2,16,Sandy Hook LSS SE 1.75 mi,,,Stranded,Iron,England,440.8,43.5,34.1,4780,2957,"Liverpool, England","Liverpool, England","New York, NY",Condron,425,,0,700000,180000,General,Sandy Hook & Spermaceti Cove,N,N,#69286; Refloated,
Clara (1906),,,Steamer,1903,"Port Glasgow, England",12/14/06,1906,12,14,Mantaloking LSS S 1 mi,,,Stranded,Steel,Austria,330.5,48.1,16,3952,2541,"Trieste, Austria","Tangier Mediterranean port 1, Tangier","New York, NY",Zar,29,,0,150000,350000,General,Mantoloking & Chadwick,N,N,Refloated,
Clara C Frey,,,Schooner,,,1/26/1871,1871,1,26,"Cranberry Inlet, NJ",,,Stranded,,US,,,,85,,,"Baltimore, MD","New York, NY",Cooper,5,,0,,,Lumber,,Y,N,Total loss,
Clarendon,,,Passenger,,,4/7/1815,1815,4,7,Sandy Hook,,,Stranded,,US,,,,,,,"Pembroke Parish, Bermuda","New York, NY",Gaines,,,,,,,,Y,N,Ship lost; Passengers & crew saved,
Claverdale,,Claverdale SS Co,Steamer,1899,"Stockton, England",2/2/02,1902,2,2,South Brigantine LSS SE 2 mi,,,Stranded,Steel,England,330,45.2,18,3307,2122,"London, England","Chongqing, China","New York, NY",W Harding,28,,0,200000,300000,Tea & general oriental merchandise,Brigantine & S Brigantine,N,N,#110069; Refloated,
Clayton Frame,,,Schooner,1864,"Milford, DE",6/14/1886,1886,6,14,Monmouth Beach LSS N 1 mi,,,Stranded,,,60.2,22.8,4.6,48.69,46.45,"Milville, NJ","Broadkill, DE","New York, NY",Charles E Smith,4,,0,1200,800,Charcoal,Seabright #3,Y,N,#5368; Total loss,
Cleopatra (1889),,Old Dominion SS Co,Freighter,1865,"Fairhaven, CT",10/29/1889,1889,10,29,Delaware Capes,38-46-644 N,74-29-920 W,Collision,Wood,US,200,35,22.6,1045,,"Boston, MA","West Point, VA","New York, NY",Ira E Dole,26,0,0,25000,,Cotton & misc freight,,Y,Y,Sank while under tow,
Clydesdale,,R Mackill & Co,Steamer,1881,"Port Glasgow, England",3/7/1884,1884,3,7,Brigantine Shoal,39-24-00 N,74-18-00 W,Stranded,Steel,Scotland,214.4,31.2,13.6,738,608,"Glasgow, Scotland","Kingston, Jamaica","New York, NY",W Johnstone,19,8,0,,,"Sugar, spices, fruit",S Brigantine & Atlantic City,N,N,# 85875; Refloated,
Coamo (A),Californian,,Steamer,1891,"Glasgow, Scotland",3/5/17,1917,3,5,Barnegat,,,Stranded,Steel,,377.2,46.1,21.9,4384,2815,"New York, NY","San Juan, Puerto Rico","New York, NY",,,,,,,,,N,N,#127454; Refloated,
Coamo (B),Californian,,Steamer,1891,"Glasgow, Scotland",4/1/17,1917,4,1,Scotland Lightship S 15 mi,,,Collision,Steel,,377.2,46.1,21.9,4384,2815,"New York, NY","San Juan, Puerto Rico","New York, NY",,,,,,,,,Y,N,#127454; Sank,
Colon (1884),,,Steamer,1873,"Chester, PA",3/5/1884,1884,3,5,Sandy Hook Romer Shoal,,,Stranded,,,292,40,20.3,2685.75,1843.5,"New York, NY","Aspinwall, PA","New York, NY",Shackford,28,38,0,200000,75000,General,Sandy Hook,N,N,#125099; Refloated,
Colon (1913),,Isthmian Canal Common,Steamer,1899,"Philadelphia, PA",9/20/13,1913,9,20,Monmouth Beach LSS E 1 mi,,,Stranded,Steel,,360,50,32.2,5667,4193,"New York, NY","Cristobal, Canal Zone","New York, NY",,,257,,650000,600000,General,Monmouth Beach,N,N,Refloated,
Colorado,,,Schooner,,,8/20/1865,1865,8,20,Townsends Inlet,39-06-30 N,74-42-00 W,Stranded,,,,,,,,"Philadelphia, PA","Philadelphia, PA","New York, NY",,5,,,,,Coal,,Y,N,Total loss,
Columbia (1828),,Red Swallowtail Line,Packet,1821,"New York, NY",1/17/1828,1828,1,17,Deal Beach,,,Stranded,,,123,29.1,14.11,492,,,"London, England","New York, NY",,52,,,,,General,,N,N,Refloated,
Columbus (1855),,,Schooner,,,7/21/1855,1855,7,21,Deal Beach,,,Stranded,,,,,,,,,"Plymouth, NC","New York, NY",,,,,,,,,Y,N,Total loss,
Commander,,,Schooner,1863,"New Haven, CT",12/30/1881,1881,12,30,Sandy Hook LSS W 1.5 mi,,,Stranded,,,,,,277.27,263.41,"Boston, MA","Baltimore, MD","New York, NY",Hall,6,,0,6500,1400,Coal,Sandy Hook #1,N,N,#4868; Refloated,
Commonwealth (1882),,George J Mercer,Steamer,1880,,1/2/1882,1882,1,2,Sandy Hook,,,Mechanical damage,Wood,US,,,,299.28,197.47,"Philadelphia, PA","Philadelphia, PA","New York, NY",Thomas J Van Kirk,,,0,12000,10000,,Sandy Hook,N,N,#125792; Towed to NY,
Commonwealth (1883),,George J Mercer,Steamer,1880,,3/4/1883,1883,3,4,Seabright E 1 mi,,,Collision,Wood,US,,,,299.28,197.47,"Philadelphia, PA","Philadelphia, PA","New York, NY",Thomas J Van Kirk,11,,0,20000,10000,200 ton General merchandise,,,N,"#125792; Assisted crew of ""Ariel Patterson""",
Concord (1817),,,Schooner,,,10/1817,1817,10,,Cape May,,,Stranded,,,,,,,,,"Ocracoke, NC","New York, NY",,,,,,,,,Y,N,Ship & cargo lost,
Constitution (1959),,American Export Lines,Passenger,1951,"Quincy, MA",3/1/59,1959,3,1,Squan Inlet S 5 mi,,,Collision,,US,637.8,89.2,38,23719,11166,"New York, NY","Newport News, VA","New York, NY",James W LaBelle,116,0,0,,,,USCG Cape May,,N,"#262027; ""Jalanta"" sliced in two; both floating",
Coquette,,L R Smoot,Steamer,1863,,3/22/1868,1868,3,22,Little Egg Harbor,,,Stranded,,,,,10,221,,"Baltimore, MD","Philadelphia, PA","New York, NY",Freeman,13,,,150000,,,,Y,N,Ship lost; cargo saved,
Cora (1875),,,Schooner,,,11/8/1875,1875,11,8,Squan Beach,,,Stranded,,,,,,52.17,,"Tuckerton, NJ","Egg Harbor, NJ","New York, NY",McKeen,5,,0,16000,400,Hop poles,Swan Point #11,Y,N,#4524; Total loss,
Cora A Lindsey,,,Schooner,,,1/21/1855,1855,1,21,Squan Inlet S 6.5 mi,,,Stranded,,,,,,,,,"New Bern, NC","New York, NY",Day,,,0,,,Terpentine; reson,,Y,N,Total loss,
Cordela Newkirk,,John Huntley,Schooner,1860,"Nacote Creek, Galloway, NJ",12/17/1877,1877,12,17,Barnegat SE 40 mi,,,Mechanical damage,Wood,US,109.3,28.4,8.5,201.27,191.21,"Philadelphia, PA","Port of Yorktown, Virginia","New York, NY",P C Huntley,7,0,0,8000,800,150 tons pinewood,,N,N,#4962; Towed to Jersey City,
Cordelia R Price (1875),C R Price,,Schooner,1872,"Bass River, NJ",11/18/1875,1875,11,18,Cold Spring Inlet North bar,,,Stranded,Wood,US,64.3,21.9,5.7,42,,"Somers Point, NJ","Chincoteague, VA","New York, NY",Adams,4,,0,6000,1000,Oysters,2 mile Beach #38,N,N,"#125085, Refloated",
Coriolan,Coriolon,,Bark,1849,"Bremen, Germany",5/18/1854,1854,5,18,Squan Inlet S 3 mi,,,Stranded,Wood,Germany,,,,560,,"Bremen, Germany","Bremen, Germany","New York, NY",H Woulf,,245,0,,,Passengers & assorted cargo,,N,N,Refloated; no damage,"Also see ""William Layton"" & ""Montezuma"""
Cornelia M Kingsland,,,Schooner,1880,"Greenport, NY",11/23/1895,1895,11,23,Sandy Hook Romer Shoal,,,Stranded,Wood,US,55.1,17.3,7.7,39,37.05,"Greenport, NY","Fire Island, NY","New York, NY",Maitland,9,,0,1500,300,Fish,Sandy Hook,Y,N,#125786; Total loss,
Cornelius Grinnell (1853),,"Grinnell, Miniturn & Co",Packet,1850,"East Boston, MA",1/14/1853,1853,1,14,Squan Beach,,,Stranded,,US,172.5,37.2,30,979.6,,"Boston, MA","London, England","New York, NY",Fletcher,,234,0,,,General,Squan Beach #9,N,Y,All saved by LSS crew w/ lifecar; Refloated,
County of Edinburgh,Freida,R & J Craig,Schooner,1885,"Glasgow, Scotland",2/12/00,1900,2,12,Squan Beach LSS S 1.25 mi,,,Stranded,Iron,England,285.6,42.5,24.3,2160,2011,"Edinburgh, England","Cape Town, SA","New York, NY",F W J Tode,29,,0,100000,,In ballast,Squan Beach & Bay Head,N,Y,"#90060; Refloated; Eventually lost in 1916 as ""Freida"" ",
Craigneuk,,Earn SS Co,Steamer,1898,"Port Glasgow, England",4/27/04,1904,4,27,Brigantine Shoal SE 2.5 mi,,,Stranded,Steel,England,314.4,44,20.8,2515,1605,"Leith, England","Matanzas, Cuba","New York, NY",Colvin,27,,0,200000,200000,Sugar,S Brigantine & Atlantic City,N,N,#109590; Refloated,
Cremona,,,Bark,1867,"Mystic, CT",5/24/1881,1881,5,24,Point Pleasant LSS E 1.5 mi,,,Stranded,Wood,US,`,,,607.91,,"Boston, MA","Marseilles, France","New York, NY",,13,,,,,In ballast,Point Pleasant #10,N,N,#5506; Refloated,
Creole (1868),,,Steamer,1862,"Mystic, CT",3/17/1868,1868,3,17,Squan Inlet S 3.5 mi,40-02-45 N,74-02-40 W,Stranded,Wood,US,194,34,18,1229,1056,"New York, NY","Havana, Cuba","New York, NY",King,15,,,,,,,,Y,#4883,
Crisis,,,Schooner,1858,"Melville, NJ",1/6/1872,1872,1,6,Sandy Hook,,,Burned,,US,,,8,132,,"Great Egg Harbor, NJ","Port of Yorktown, Virginia","New York, NY",,,,,,,,,,N,"Saved by ""W A Hennessy""",
Cuba,,William Vaughan,Schooner,1870,"St George, New Brunswick",1/16/1879,1879,1,16,Ship Bottom LSS E .75 mi,,,Stranded,,England,90,28,8.8,144,,"St John, NB, Canada ","Areciba, PR","New York, NY",A O Hutchinson,6,,0,2700,9000,Molasses,Ship Bottom #20,Y,N,#64497; Total loss,
Cutelin Dall 'Orso,,M Dall Orso,Bark,1973,"Sestri, Italy ",10/17/1879,1879,10,17,Absecon Inlet E .25 mi,,,Stranded,,Italy,,,,632,,"Genoa, Italy","Marseilles, France","New York, NY",Equesta,14,,0,20000,,In ballast,Absecon # 28,N,N,Refloated,
D S Goodell,,,Bark,,,1/16/1856,1856,1,16,Squan Beach,,,Stranded,,,,,,,,,"Rio de Janiero, Brazil","New York, NY",,,,0,,,,,N,N,Refloated 3/10/1856,
D W McLean,,,Schooner,1883,"Norwalk, CT",3/9/1889,1889,3,9,Hereford Inlet South bar,,,Stranded,Wood,US,128.3,29.5,10.5,296.06,281.26,"New York, NY","Georgetown, SC","New York, NY",Hutchinson,6,,0,25000,3000,Railroad ties,Hereford Inlet,N,N,#157085; Refloated undamaged,
D W Saunders,,,Schooner,,,1857,1857,,,Squan Beach,,,Stranded,,,,,,,,,"Beaufort, NC","New York, NY",Cranmer,5,,,11100,,,,Y,N,Broke up,
David Tolck,,John Zittlosen,Schooner,1873,"Millbridge, ME",2/26/1879,1879,2,26,Harvey Cedars,,,Stranded,,US,132,30,13,445,,,"Sagua La Grande, Cuba","New York, NY",Sawyer,7,2,5,15000,40000,Sugar & Hogsheads,Barnegat,Y,N,#6791; Rigging saved & sold in NY,
Day,,,Bark,,,4/15/1847,1847,4,15,Sandy Hook Light S 2 mi,,,Stranded,,,,,,,,,"Limerick, Ireland","New York, NY",,,,,,,,,,N,,
Deborah,,,Schooner,,,1/21/1855,1855,1,21,Absecon,,,Stranded,,US,,,,,,,"Washington, DC","New York, NY",,,,,,,,,,N,,
Delight (1779),,,Brigantine,,,6/2/1779,1779,6,2,,,,Stranded,Wood,England,,,,,,,"Tortola, BVI","New York, NY",James Dawson,30,,,,,"Rum, sugar, etc",,Y,N,Militia took possession of ship & crew,
Denie Hastings,,Daniel S Tilton,Schooner,1865,,,,,,Turtle Gut Inlet,,,Stranded,,,,,,,,"Great Egg Harbor, NJ","Norfolk, VA","New York, NY",Daniel S Tilton,,,,,,Coal,,,N,#6186,
DeWitt Clinton,,H L Rich & Co,Bark,1848,"New York, NY",3/4/1860,1860,3,4,Squan Inlet S 8 mi,39-59-24 N,74-03-30 W,Stranded,Wood,US,,,,1079,,,"Liverpoole, England","New York, NY",Funk,10,104,0,,,,,N,N,Refloated,
Duchess Orleans,,,Ship,,,1/14/1848,1848,1,14,Sandy Hook,,,Stranded,,,,,,798.5,,,"Havre, France","New York, NY",,30,112,,40000,750000,,,,N,,
E B Fithian (1881),,C A Clemont,Schooner,1864,"Greenwich, NJ",9/21/1881,1881,9,21,Hereford Inlet South bar,,,Stranded,Wood,US,49.2,17.2,4.9,25.5,24.23,"Camden, NJ","Hog Island, VA","New York, NY",J B Higbee,3,,0,1500,1000,21 ton sweet potato,Hereford Inlet #36,N,N,#8020; Refloated,
E B Fithian (1883),,C A Clemont,Schooner,1864,"Greenwich, NJ",11/28/1883,1883,11,28,Point Creek,,,Stranded,Wood,US,49.2,17.2,4.9,25.5,24.23,"Camden, NJ","Port Republic, NJ","New York, NY",J B Higbee,3,,0,1000,500,Oysters,Little Egg Harbor,N,N,#8020; Refloated,
